district_code,district,taluk_code,taluk,village_code,village,block_panchayat_code,block_panchayat,gram_panchayat_code,gram_panchayat
536,Dharwad,7081,Alnavar,602249,Amboli,296781,Alnavar,217632,Arwatagi
536,Dharwad,7081,Alnavar,602248,Aravatagi,296781,Alnavar,217632,Arwatagi
536,Dharwad,7081,Alnavar,602239,Balageri,296781,Alnavar,217634,Benachi
536,Dharwad,7081,Alnavar,602251,Benachi,296781,Alnavar,217634,Benachi
536,Dharwad,7081,Alnavar,602250,Dori,296781,Alnavar,217634,Benachi
536,Dharwad,7081,Alnavar,602238,Hindasgeri,296781,Alnavar,217642,Kadabagatti
536,Dharwad,7081,Alnavar,602252,Honnapur,296781,Alnavar,217641,Honnapur
536,Dharwad,7081,Alnavar,602236,Hulikeri,296781,Alnavar,217642,Kadabagatti
536,Dharwad,7081,Alnavar,602237,Kadabagatti,296781,Alnavar,217642,Kadabagatti
536,Dharwad,7081,Alnavar,602240,Kogilageri,296781,Alnavar,217632,Arwatagi
536,Dharwad,7081,Alnavar,602247,Kumbarganvi,296781,Alnavar,217641,Honnapur
536,Dharwad,7081,Alnavar,602241,Kumbarkoppa,296781,Alnavar,217632,Arwatagi
536,Dharwad,7080,Annigeri,602358,Adnur,296782,Annigeri,273033,Navalli
536,Dharwad,7080,Annigeri,602364,Ballarawad,296782,Annigeri,217753,Shisuvinahalli
536,Dharwad,7080,Annigeri,602361,Basapur,296782,Annigeri,217738,Bhadrapur
536,Dharwad,7080,Annigeri,602365,Bennur,296782,Annigeri,217753,Shisuvinahalli
536,Dharwad,7080,Annigeri,602370,Bhadrapur,296782,Annigeri,217738,Bhadrapur
536,Dharwad,7080,Annigeri,602366,Dundur,296782,Annigeri,217753,Shisuvinahalli
536,Dharwad,7080,Annigeri,602359,Hallikeri,296782,Annigeri,217742,Hallikeri
536,Dharwad,7080,Annigeri,602354,Ibrahimpur,296782,Annigeri,217744,Ibrahimpur
536,Dharwad,7080,Annigeri,602357,Kittur,296782,Annigeri,273033,Navalli
536,Dharwad,7080,Annigeri,602363,Kondikoppa,296782,Annigeri,273034,Saswihalli
536,Dharwad,7080,Annigeri,602371,Majjigudda,296782,Annigeri,217738,Bhadrapur
536,Dharwad,7080,Annigeri,602368,Manakawad,296782,Annigeri,217748,Nalawadi
536,Dharwad,7080,Annigeri,602360,Nagarahalli,296782,Annigeri,217753,Shisuvinahalli
536,Dharwad,7080,Annigeri,602369,Nalavadi,296782,Annigeri,217748,Nalawadi
536,Dharwad,7080,Annigeri,602355,Navalli,296782,Annigeri,273033,Navalli
536,Dharwad,7080,Annigeri,602373,Saidapur,296782,Annigeri,273034,Saswihalli
536,Dharwad,7080,Annigeri,602362,Saswihalli,296782,Annigeri,273034,Saswihalli
536,Dharwad,7080,Annigeri,602352,Shelawadi,296782,Annigeri,217750,Shalawadi
536,Dharwad,7080,Annigeri,602367,Siswinahalli,296782,Annigeri,217753,Shisuvinahalli
536,Dharwad,7080,Annigeri,602356,Tuppadakurahatti,296782,Annigeri,217756,Tuppadakurahatti
536,Dharwad,5473,Dharwad,602214,Agasanahalli,6157,Dharwad,217636,Garag
536,Dharwad,5473,Dharwad,602268,Ambalikoppa,6157,Dharwad,217637,Halligeri
536,Dharwad,5473,Dharwad,602300,Amminabhavi,6157,Dharwad,217631,Amminbhavi
536,Dharwad,5473,Dharwad,602279,Baad,6157,Dharwad,217659,Nigadi
536,Dharwad,5473,Dharwad,939256,Belligatti (Nrv),6157,Dharwad,217652,Managundi
536,Dharwad,5473,Dharwad,602227,Belur,6157,Dharwad,217633,Belur
536,Dharwad,5473,Dharwad,602282,Benkankatti,6157,Dharwad,217659,Nigadi
536,Dharwad,5473,Dharwad,602212,Bogur,6157,Dharwad,301643,Guledakoppa
536,Dharwad,5473,Dharwad,602305,Chandanmatti,6157,Dharwad,217644,Kanakur
536,Dharwad,5473,Dharwad,602270,Chikkamalligwad,6157,Dharwad,273020,Chikkamalligawada
536,Dharwad,5473,Dharwad,602254,Daddikamalapur,6157,Dharwad,217653,Mandihal
536,Dharwad,5473,Dharwad,602310,Dandikoppa,6157,Dharwad,217654,Maradagi
536,Dharwad,5473,Dharwad,602230,Dasanakoppa,6157,Dharwad,217658,Narendra
536,Dharwad,5473,Dharwad,602260,Devagiri-M-Kyarkoppa,6157,Dharwad,217643,Kalakeri
536,Dharwad,5473,Dharwad,602228,Devagiri-M-Narendra,6157,Dharwad,217658,Narendra
536,Dharwad,5473,Dharwad,602266,Devarhubli,6157,Dharwad,217635,Devarhubbali
536,Dharwad,5473,Dharwad,602213,Dubbanamardi,6157,Dharwad,217638,Hangarki
536,Dharwad,5473,Dharwad,602242,Durgadakeri,6157,Dharwad,217664,Tegur
536,Dharwad,5473,Dharwad,602215,Garag,6157,Dharwad,217636,Garag
536,Dharwad,5473,Dharwad,602312,Ghongadikoppa,6157,Dharwad,217654,Maradagi
536,Dharwad,5473,Dharwad,602311,Govankoppa,6157,Dharwad,217654,Maradagi
536,Dharwad,5473,Dharwad,602225,Guledakoppa,6157,Dharwad,301643,Guledakoppa
536,Dharwad,5473,Dharwad,602210,Hale Tegur,6157,Dharwad,217664,Tegur
536,Dharwad,5473,Dharwad,602267,Halligeri,6157,Dharwad,217637,Halligeri
536,Dharwad,5473,Dharwad,602297,Hanamanakoppa,6157,Dharwad,217665,Uppin Betageri
536,Dharwad,5473,Dharwad,602294,Hanamanhal,6157,Dharwad,217665,Uppin Betageri
536,Dharwad,5473,Dharwad,602207,Hangarki,6157,Dharwad,217638,Hangarki
536,Dharwad,5473,Dharwad,602295,Harobelavadi,6157,Dharwad,217639,Harobelawadi
536,Dharwad,5473,Dharwad,602309,Hebballi,6157,Dharwad,217640,Hebballi
536,Dharwad,5473,Dharwad,602232,Heggeri,6157,Dharwad,217633,Belur
536,Dharwad,5473,Dharwad,602271,Hiremalligawad,6157,Dharwad,273020,Chikkamalligawada
536,Dharwad,5473,Dharwad,602259,Holtikoti,6157,Dharwad,217637,Halligeri
536,Dharwad,5473,Dharwad,602199,Hosatti,6157,Dharwad,217651,Madhanbhavi
536,Dharwad,5473,Dharwad,602244,Hosawal,6157,Dharwad,217661,Ramapur
